id, queryID, matchingReferenceID,
1,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5897.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5897.MOV.mp4 ,
2,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5898.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5898.MOV.mp4 ,
3,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5899.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5899.MOV.mp4 ,
4,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5900.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5900.MOV.mp4 ,
5,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5901.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5901.MOV.mp4 ,
6,EMB01_ORG/S0001_I00001_C001/EMB01_ORG_MVI_5902.MOV.mp4,EMB02_ORG/S0001_I00001_C001/EMB02_ORG_MVI_5902.MOV.mp4 ,
7,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip1.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip1.mp4.mp4 ,
8,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip2.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip2.mp4.mp4 ,
9,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip3.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip3.mp4.mp4 ,
10,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip4.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip4.mp4.mp4 ,
11,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip5.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip5.mp4.mp4 ,
12,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip6.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip6.mp4.mp4 ,
13,EMB01_ORG/S0002_I00001_C001/EMB01_ORG_cwi_centrum_wiskunde_informatica_clip7.mp4.mp4,EMB02_ORG/S0002_I00001_C001/EMB02_ORG_cwi_centrum_wiskunde_informatica_clip7.mp4.mp4 ,
14,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip1.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip1.mp4.mp4 ,
15,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip2.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip2.mp4.mp4 ,
16,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip4.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip4.mp4.mp4 ,
17,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip5.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip5.mp4.mp4 ,
18,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip6.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip6.mp4.mp4 ,
19,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip7.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip7.mp4.mp4 ,
20,EMB01_ORG/S0002_I00002_C001/EMB01_ORG_cwi_concert_gebouw_clip8.mp4.mp4,EMB02_ORG/S0002_I00002_C001/EMB02_ORG_cwi_concert_gebouw_clip8.mp4.mp4 ,
21,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip10.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip10.mp4.mp4 ,
22,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip11.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip11.mp4.mp4 ,
23,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip12.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip12.mp4.mp4 ,
24,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip1.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip1.mp4.mp4 ,
25,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip2.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip2.mp4.mp4 ,
26,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip3.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip3.mp4.mp4 ,
27,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip4.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip4.mp4.mp4 ,
28,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip5.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip5.mp4.mp4 ,
29,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip6.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip6.mp4.mp4 ,
30,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip8.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip8.mp4.mp4 ,
31,EMB01_ORG/S0002_I00003_C001/EMB01_ORG_cwi_rijks_museum_clip9.mp4.mp4,EMB02_ORG/S0002_I00003_C001/EMB02_ORG_cwi_rijks_museum_clip9.mp4.mp4 ,
32,EMB01_ORG/S0002_I00004_C001/EMB01_ORG_cwi_universiteit_van_amsterdam_clip1.mp4.mp4,EMB02_ORG/S0002_I00004_C001/EMB02_ORG_cwi_universiteit_van_amsterdam_clip1.mp4.mp4 ,
33,EMB01_ORG/S0002_I00004_C001/EMB01_ORG_cwi_universiteit_van_amsterdam_clip2.mp4.mp4,EMB02_ORG/S0002_I00004_C001/EMB02_ORG_cwi_universiteit_van_amsterdam_clip2.mp4.mp4 ,
34,EMB01_ORG/S0002_I00004_C001/EMB01_ORG_cwi_universiteit_van_amsterdam_clip3.mp4.mp4,EMB02_ORG/S0002_I00004_C001/EMB02_ORG_cwi_universiteit_van_amsterdam_clip3.mp4.mp4 ,
35,EMB01_ORG/S0002_I00004_C001/EMB01_ORG_cwi_universiteit_van_amsterdam_clip4.mp4.mp4,EMB02_ORG/S0002_I00004_C001/EMB02_ORG_cwi_universiteit_van_amsterdam_clip4.mp4.mp4 ,
36,EMB01_ORG/S0002_I00004_C001/EMB01_ORG_cwi_universiteit_van_amsterdam_clip5.mp4.mp4,EMB02_ORG/S0002_I00004_C001/EMB02_ORG_cwi_universiteit_van_amsterdam_clip5.mp4.mp4 ,
37,EMB01_ORG/S0002_I00005_C003/EMB01_ORG_cwi_basketball_clip1.mp4.mp4,EMB02_ORG/S0002_I00005_C003/EMB02_ORG_cwi_basketball_clip1.mp4.mp4 ,
38,EMB01_ORG/S0002_I00005_C003/EMB01_ORG_cwi_basketball_clip2.mp4.mp4,EMB02_ORG/S0002_I00005_C003/EMB02_ORG_cwi_basketball_clip2.mp4.mp4 ,
39,EMB01_ORG/S0002_I00005_C003/EMB01_ORG_cwi_basketball_clip3.mp4.mp4,EMB02_ORG/S0002_I00005_C003/EMB02_ORG_cwi_basketball_clip3.mp4.mp4 ,
40,EMB01_ORG/S0002_I00005_C003/EMB01_ORG_cwi_basketball_clip4.mp4.mp4,EMB02_ORG/S0002_I00005_C003/EMB02_ORG_cwi_basketball_clip4.mp4.mp4 ,
41,EMB01_ORG/S0002_I00005_C003/EMB01_ORG_cwi_basketball_clip5.mp4.mp4,EMB02_ORG/S0002_I00005_C003/EMB02_ORG_cwi_basketball_clip5.mp4.mp4 ,
42,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip1.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip1.mp4.mp4 ,
43,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip2.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip2.mp4.mp4 ,
44,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip3.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip3.mp4.mp4 ,
45,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip4.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip4.mp4.mp4 ,
46,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip5.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip5.mp4.mp4 ,
47,EMB01_ORG/S0002_I00006_C003/EMB01_ORG_cwi_huiskamer_clip6.mp4.mp4,EMB02_ORG/S0002_I00006_C003/EMB02_ORG_cwi_huiskamer_clip6.mp4.mp4 ,
